datetime,portfolio_value,cash,return
2023-12-15 09:30:00-05:00,100000.0,100000.0,
2023-12-16 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-18 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-19 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-20 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-21 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-22 09:30:00-05:00,99731.82012939453,149960.97857666016,-0.002681798706054672
2023-12-23 09:30:00-05:00,99731.82012939453,224830.85626220703,0.0
2023-12-26 09:30:00-05:00,99676.37432861328,224830.85626220703,-0.0005559489509898707
2023-12-27 09:30:00-05:00,99314.69561767578,224830.85626220703,-0.0036285299638318946
2023-12-28 09:30:00-05:00,98594.69439697266,337034.6968383789,-0.0072496946823947805
2023-12-29 09:30:00-05:00,98789.7017211914,337034.6968383789,0.001977868336744182
2023-12-30 09:30:00-05:00,98789.7017211914,-69887.75482177734,0.0
